sample-id,absolute-filepath,direction
P8-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P8-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P15-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P15-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P13-3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P13-3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
#C10,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_C10_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P12-6,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P12-6_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P4-6,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P4-6_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P4-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P4-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
C5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_C5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P12-4,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P12-4_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P3-1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P3-1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
#C9,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_C9_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P4-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P4-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P13-1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P13-1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P8-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P8-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
C7,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_C7_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P15-1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P15-1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P8-3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P8-3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P15-5,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P15-5_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P1-1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P1-1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P5-1,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P5-1_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P8-6,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P8-6_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P15-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P15-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P15-3,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P15-3_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
P5-2,/media/HDD2/Data2/MiSeq/16S_metagenome/Claudia/Bangladesh/Bangladesh1/SeqPrep/Read_orienting/LAST_P5-2_SeqPrep-merged_to_gg_13_8_97_otus.ALL-forward.fastq.gz,forward
